name,href
"Aaron Hartman, MD",https://www.ifm.org/practitioners/aaron-hartman-md/
"Aarti Batavia, MS, RDN, CLT, CFSP, IFMCP.",https://www.ifm.org/practitioners/aarti-batavia-ms-rdn-clt-ifmcp/
"Abby M Miller, LAc, Dipl CH, IFMCP",https://www.ifm.org/practitioners/abby-m-miller-lac-dipl-ch-ifmcp/
"Achina P Stein, DO",https://www.ifm.org/practitioners/achina-p-stein-do/
"Adrian den Boer, DC, ND, IFMCP",https://www.ifm.org/practitioners/adrian-den-boer-dc-nd/
"Adrienne Carmack, MD",https://www.ifm.org/practitioners/adrienne-carmack-md/
"Agnieszka (Anna) Wolyn, MD",https://www.ifm.org/practitioners/agnieszka-anna-wolyn-md/
"Alan D Tran, MD",https://www.ifm.org/practitioners/alan-d-tran-md/
"Alejandra Carrasco, MD",https://www.ifm.org/practitioners/alejandra-carrasco-md/
"Alexis Rheinwald-Jones, FNP-C",https://www.ifm.org/practitioners/alexis-rheinwald-jones-fnp-c/
"Alexsandra Motroni, MD",https://www.ifm.org/practitioners/alexsandra-motroni-md/
"Alison J Hoffmaster, PA-C",https://www.ifm.org/practitioners/alison-j-hoffmaster-pa-c/
"Aliya Asad, MD",https://www.ifm.org/practitioners/aliya-asad-md/
"Amir Koohestani, DO",https://www.ifm.org/practitioners/amir-koohestani-do/
"Amy Beard, MD",https://www.ifm.org/practitioners/amy-beard-md/
"Amy Drab, PA",https://www.ifm.org/practitioners/amy-drab-pa/
"Amy E Black, NP",https://www.ifm.org/practitioners/amy-e-black-np/
"Amy Ear, PhD, LAc",https://www.ifm.org/practitioners/amy-ear-phd-lac/
"Amy Fletcher, MD",https://www.ifm.org/practitioners/amy-fletcher-md/
"Amy K Davis, MD",https://www.ifm.org/practitioners/amy-k-davis-md/
"Amy Nicley, Nurse Practitioner",https://www.ifm.org/practitioners/amy-nicley-nurse-practitioner/
"Amy R Sparks, MD",https://www.ifm.org/practitioners/amy-r-sparks-md/
"Amy S Weiler, DO",https://www.ifm.org/practitioners/amy-s-weiler-do/
"Andrew Beaumont, MD PhD",https://www.ifm.org/practitioners/andrew-beaumont-md-phd/
"Angela K Griffiths, DC",https://www.ifm.org/practitioners/angela-k-griffiths-dc/
"Angela M Rupp-Katzer, APRN-C",https://www.ifm.org/practitioners/angela-m-katzer-aprn-c/
"Angela O'Neil, MD",https://www.ifm.org/practitioners/angela-oneil-md/
"Anil Pinto, MD",https://www.ifm.org/practitioners/anil-pinto-md/
"Anita Burock Stotts, MD",https://www.ifm.org/practitioners/anita-burock-stotts-md/
"Anita F Sadaty, MD",https://www.ifm.org/practitioners/anita-f-sadaty-md/
"Ann L. Johnson, IFMCP, RN",https://www.ifm.org/practitioners/ann-johnson-ifmcp-rn/
"Ann Shippy, MD",https://www.ifm.org/practitioners/ann-shippy/
"Anna M Rotkiewicz, MD",https://www.ifm.org/practitioners/anna-m-rotkiewicz-md/
"Anna Suponya, MD",https://www.ifm.org/practitioners/anna-suponya-md/
"Anne Sherman, MSN, APNP, FNP-BC",https://www.ifm.org/practitioners/anne-sherman-msn/
"Annette Mueller, MS, FNP-BC, IFMCP",https://www.ifm.org/practitioners/annette-mueller-fnp/
"Annina Burns, PhD, RD, NU",https://www.ifm.org/practitioners/annina-burns-phd-rd/
"Annmarie McManus, MMSc, PA-C, PT, IFMCP",https://www.ifm.org/practitioners/annmarie-mcmanus-mmsc/
"Anthony Serle, DCIBN",https://www.ifm.org/practitioners/anthony-serle-bs-dc/
"Anup Kanodia, MD, MPH",https://www.ifm.org/practitioners/anup-kanodia-md-mph/
"Arti Chandra, MD, MPH",https://www.ifm.org/practitioners/arti-chandra-md-mph/
"Ashley L Mannell, RD, NP, IFMCP",https://www.ifm.org/practitioners/ashley-l-mannell-rd-np/
"Ashley Walker, PA-C",https://www.ifm.org/practitioners/ashley-walker-pa-c/
"Aubrey Spangler, ANP",https://www.ifm.org/practitioners/aubrey-spangler-anp/
"Aunna Herbst, DO, ND",https://www.ifm.org/practitioners/aunna-herbst-do-nd/
"Barb M. Mahlmeister, RDN, IFMCP",https://www.ifm.org/practitioners/barb-m-mahlmeister-rdn-ifmcp/
"Barbara Mitchell, MD",https://www.ifm.org/practitioners/barbara-mitchell-md/
"Barbara Winges Conflitti, MSN APRN FNP IFMCP",https://www.ifm.org/practitioners/barbara-winges-conflitti-msn-aprn-fnp/
"Barry Wohl, MD, FACC",https://www.ifm.org/practitioners/barry-wohl-md-facc/
"Basima Williams, DO",https://www.ifm.org/practitioners/basima-williams-do/
"Beatrice L. Smith, MD",https://www.ifm.org/practitioners/beatrice-l-smith-md/
"Beth Florini, MD",https://www.ifm.org/practitioners/beth-florini-md/
"Bethany M. Hays, MD",https://www.ifm.org/practitioners/bethany-m-hays-md/
"Betsy S Kantor, MD, FAAP",https://www.ifm.org/practitioners/betsy-s-kantor-md/
"Bette Bischoff, MD, RD",https://www.ifm.org/practitioners/bette-bischoff-md-rd/
"Bettina Herbert, MD",https://www.ifm.org/practitioners/bettina-herbert-md/
"Betty Murray, MSc, CN, IFMCP - Autoimmune, MTHFR, Complex Health & Hormonal Issues",https://www.ifm.org/practitioners/betty-murray-cn/
"Bianca Garilli, ND",https://www.ifm.org/practitioners/bianca-garilli-nd/
"Bill Barley, MD",https://www.ifm.org/practitioners/bill-barley-md/
"Bonnie Lynn Sprague, ARNP",https://www.ifm.org/practitioners/bonnie-lynn-sprague-arnp/
"Bonnie Mackey, PhD, NP, APHN-BC",https://www.ifm.org/practitioners/bonnie-mackey-phd-np-ahn-bc/
"Bradley Dyer, DO",https://www.ifm.org/practitioners/bradley-dyer-do/
"Bradley L Aylor, MD",https://www.ifm.org/practitioners/bradley-l-aylor-md/
"Brian J. Rodgers, DO",https://www.ifm.org/practitioners/brian-j-rodgers-do/
"Brian L Jerby, MD",https://www.ifm.org/practitioners/brian-l-jerby-md/
"Brittany Michelle Amacker, FNP",https://www.ifm.org/practitioners/brittany-michelle-amacker-fnp/
"Bruce Gollub, MD",https://www.ifm.org/practitioners/bruce-gollub-md/
"Bryan Glick, DO",https://www.ifm.org/practitioners/bryan-glick-do/
"Candice LeDuff Knight, MD",https://www.ifm.org/practitioners/candice-leduff-knight-md/
"Caren Eliezer, DO",https://www.ifm.org/practitioners/caren-eliezer-do/
"Carly Erickson, ND, MSM",https://www.ifm.org/practitioners/carly-erickson-nd-msm/
"Carolyn Matthews, MD",https://www.ifm.org/practitioners/carolyn-matthews-md/
"Carrie L Palmer, PA-C",https://www.ifm.org/practitioners/carrie-l-palmer-pa-c/
"Carrie Levine, CNM",https://www.ifm.org/practitioners/carrie-levine-cnm/
"Carrie Rose, MD",https://www.ifm.org/practitioners/carrie-rose-md/
"Carrie Yerkes, PA-C",https://www.ifm.org/practitioners/carrie-yerkes-pa-c/
"Casey Tramp, MD",https://www.ifm.org/practitioners/casey-tramp-md/
"Charlotte Widick, MSN, RN, ACNP",https://www.ifm.org/practitioners/charlotte-widick/
"Cheryl A Brown, DNP, FNP-BC",https://www.ifm.org/practitioners/cheryl-a-brown-dnp-fnp-bc/
"Cheryl Winter, APRN, FNP, RDN, CDE",https://www.ifm.org/practitioners/cheryl-haas-winter-fnp-rd-cde/
"Chima Ibekwe, MD",https://www.ifm.org/practitioners/chima-ibekwe-md/
"Chiti Parikh, MD",https://www.ifm.org/practitioners/chiti-parikh-md/
"Chris Bantock, DC",https://www.ifm.org/practitioners/chris-bantock-dc/
"Chris Link, MD",https://www.ifm.org/practitioners/chris-link-md/
"Christina L. Sonchar, DC, DABCI, DACBN, CCSP, CCEP",https://www.ifm.org/practitioners/christina-l-sonchar-dc-dabci-dacbn-ccsp-ccep/
"Christina O'Brien, RD, DACNB",https://www.ifm.org/practitioners/christina-obrien-rd-dacnb/
"Christine M Maren, DO, IFMCP",https://www.ifm.org/practitioners/christine-m-maren-do/
"Christine E. Miller, MS, RD",https://www.ifm.org/practitioners/christine-miller-ms-rd/
"Christopher J Bump, DC, MS,IFMCP, DCBCN, CNS",https://www.ifm.org/practitioners/christopher-j-bump-dc-msifmcp-dcbcn-cns/
"Christopher M Smith, MD",https://www.ifm.org/practitioners/christopher-m-smith-md/
"Claudine Mae Kubesh, MD",https://www.ifm.org/practitioners/claudine-kubesh-md/
"Coby L. Hanes, DC",https://www.ifm.org/practitioners/coby-l-hanes-dc/
"Colleen Pomplun, DC",https://www.ifm.org/practitioners/colleen-pomplun-dc/
"Connie Arispe, MD",https://www.ifm.org/practitioners/connie-j-arispe-md/
"Cynthia Culp, NP-C",https://www.ifm.org/practitioners/cynthia-culp-fnp/
"Cynthia Teh, MD",https://www.ifm.org/practitioners/cynthia-teh-md/
"Dalia I Vargas, FNP",https://www.ifm.org/practitioners/dalia-i-vargas-fnp/
"Dalinda Reese, MD",https://www.ifm.org/practitioners/dalinda-reese-md/
"Dan Lukaczer, ND",https://www.ifm.org/practitioners/dan-lukaczer-nd/
"Dane Fliedner, MD",https://www.ifm.org/practitioners/dane-fliedner-md/
"Daniel E Rieders, MD",https://www.ifm.org/practitioners/daniel-e-rieders-md/
"Daniel J Rashid, MD",https://www.ifm.org/practitioners/daniel-j-rashid-md/
"Daniel LaPerriere, MD",https://www.ifm.org/practitioners/daniel-laperriere-md/
