Url,category
"http://www.kiddicare.com/c/Twin_and_Double_Pushchairs.htm
","Twins, Tandems and Triples
"
"http://www.kiddicare.com/c/Prams.htm
",Pushchair Prams
"http://www.kiddicare.com/c/Push_Chairs.htm
",Pushchairs
"http://www.kiddicare.com/c/Buggies_and_Strollers.htm
",Buggies and Strollers
"http://www.kiddicare.com/c/Travel_Systems.htm
",Travel Systems
"http://www.kiddicare.com/c/3_Wheeler_Pushchairs.htm
",3 Wheeler Pushchairs
"http://www.kiddicare.com/c/Carrycots.htm
",Carrycots
"http://www.kiddicare.com/c/Home_Safety.htm
",Home Safety
"http://www.kiddicare.com/c/Bed_Guards.htm
",Bed Guards
"http://www.kiddicare.com/c/Pre_and_Post_Natal_Healthcare.htm
",Pre & Postnatal healthcare
"http://www.kiddicare.com/c/Nipple_Protection.htm
",Nipple Protection
http://www.kiddicare.com/c/Safety_Gates_and_Playpens.htm,"Safety Gates & Pens
"
"http://www.kiddicare.com/c/Baby_Monitors.htm
",Baby Monitors
"http://www.kiddicare.com/c/Fire_Guards.htm
",Fireguards
"http://www.kiddicare.com/c/Harnesses_and_Reins.htm
","Harness & reins
"
"http://www.kiddicare.com/c/Baby_Health_Care.htm
",Baby Healthcare
"http://www.kiddicare.com/c/Soothers,_Teethers_and_Accessories.htm
",Soothers & Teethers
http://www.kiddicare.com/c/Pregnancy_and_Nursing_Pillows.htm,Pregnancy & Nursing pillows
http://www.kiddicare.com/c/Baby_Toiletries.htm,Baby Toiletries
http://www.kiddicare.com/c/Baby_Changing_Bags.htm,Changing Bags
"http://www.kiddicare.com/c/Toilet_Training.htm
",Toilet Training
"http://www.kiddicare.com/c/Mattress_Protection.htm
",Mattress Protection
"http://www.kiddicare.com/c/Bathing.htm
",Bath Time
"http://www.kiddicare.com/c/Changing_Mats.htm
",Changing Mats
http://www.kiddicare.com/c/Nappies.htm,Nappies
"http://www.kiddicare.com/c/Nappy_Disposal.htm
",Nappy Disposals
"http://www.kiddicare.com/c/Changing_Units.htm
",Changing Units
"http://www.kiddicare.com/c/Bedding.htm
",Bedding
http://www.kiddicare.com/c/Cots.htm,Cots
"http://www.kiddicare.com/c/Travel_Cots.htm
",Nursery Furniture Sets
"http://www.kiddicare.com/c/Changing_Units.htm
",Changing Units
"http://www.kiddicare.com/c/Mattress_Protection.htm
",Mattress protection
"http://www.kiddicare.com/c/Cot_Beds.htm
",Cribs
http://www.kiddicare.com/c/Nursery_Furniture_Sets.htm,Nursery Furniture Sets
"http://www.kiddicare.com/c/Moses_Baskets_and_Stands.htm
",Moses Baskets and Stands
http://www.kiddicare.com/c/Cribs.htm,Cribs
http://www.kiddicare.com/c/Bedding_Sets_and_Bales.htm,Bedding Sets and Bales
"http://www.kiddicare.com/c/Wardrobes.htm
",Wardrobes
"http://www.kiddicare.com/c/Nursing_Chairs.htm
",Nursing Chairs
"http://www.kiddicare.com/c/Dressers_and_Drawers.htm
",Dressers and Drawers
"http://www.kiddicare.com/c/Toddler_Beds.htm
",Toddler Beds
"http://www.kiddicare.com/c/Bunk_Beds.htm
",Bunk Beds
"http://www.kiddicare.com/c/Baby_Bibs_and_Muslin_Cloths.htm
",Baby Bibs and Muslin Cloths
"http://www.kiddicare.com/c/Baby Walkers and Entertainers.htm
",Baby Walkers and Entertainers
http://www.kiddicare.com/c/9_Months_to_4_Years_Car_Seats.htm,Forward Facing Car Seats
"http://www.kiddicare.com/c/Wooden_Beds.htm
",Wooden Beds
"http://www.kiddicare.com/c/Childrens_Chest_of_Drawers.htm
","Children's Chest of Drawers
"
"http://www.kiddicare.com/c/Childrens_Toy_Boxes.htm
",Children's Toy Boxes
"http://www.kiddicare.com/c/Childrens_Decor.htm
",Children's Decor & Accessories
"http://www.kiddicare.com/c/Toddler_Beds.htm
",Toddler Beds
"http://www.kiddicare.com/c/Single_Beds.htm
",Single Beds
"http://www.kiddicare.com/c/Mid_Sleepers.htm
",Mid Sleepers
"http://www.kiddicare.com/c/Novelty_Beds.htm
",Novelty Beds
"http://www.kiddicare.com/c/High_Sleepers.htm
",High Sleepers
"http://www.kiddicare.com/c/Breast_Pumps.htm
",Breast pumps
"http://www.kiddicare.com/c/Plastic_Cutlery.htm
",Plastic Cutlery
"http://www.kiddicare.com/c/Pregnancy_and_Nursing_Pillows.htm
",Pregnancy and nursing pillows
"http://www.kiddicare.com/c/High_Chairs_and_Table_Seats.htm
",High Chairs and Table Seats
"http://www.kiddicare.com/c/Table_Booster_Seats.htm
",Table Booster Seats
"http://www.kiddicare.com/c/Bottles.htm
",Bottles
"http://www.kiddicare.com/c/Sterilising_Equipment.htm
",sterilisers
"http://www.kiddicare.com/c/Cups.htm
",Cups
"http://www.kiddicare.com/c/Plastic_Plates_and_Bowls.htm
",Plastic Plates and Bowls
"http://www.kiddicare.com/c/Educational_Toys.htm
",books and educational toys
"http://www.kiddicare.com/c/Rattles_and_Teething_Toys.htm
",Rattles and Teething Toys
http://www.kiddicare.com/c/Imaginative_Play.htm,imaginative play
"http://www.kiddicare.com/c/Games_and_Puzzles.htm
",Games and Puzzles
"http://www.kiddicare.com/c/Bouncers and Rockers.htm
",Bouncers and Rockers
"http://www.kiddicare.com/c/Play_Gyms_and_Play_Mats.htm
","Play Gyms and Play Mats
"
"http://www.kiddicare.com/c/Interactive_and_Electronic_Toys.htm
",Pushchair Cots and Highchair Toys
http://www.kiddicare.com/c/Soft_Gift_Toys.htm,Soft Toys
http://www.kiddicare.com/c/Musical_Toys.htm,Musical Toys
"http://www.kiddicare.com/c/Ride-Ons.htm
",Ride-Ons
http://www.kiddicare.com/c/Booster_Seats.htm,Booster Seats
http://www.kiddicare.com/c/i-Size_Car_Seats.htm,"i-Size Car Seats
"
http://www.kiddicare.com/c/Birth_to_12_Months_Car_Seats.htm,Baby Car Seats
http://www.kiddicare.com/c/Birth_to_4_Years_Car_Seats.htm,Combination Car Seats
http://www.kiddicare.com/c/9_Months_to_11_Years_Car_Seats.htm,Highback Boosters with Harnesses
http://www.kiddicare.com/c/4_to_11_Years_Car_Seats.htm,Highback Boosters without Harnesses
http://www.kiddicare.com/c/Car_Seat_Bases.htm,"Car Seat Bases
"
http://www.kiddicare.com/c/Isofix_Car_Seats.htm,Isofix Car Seats
"http://www.kiddicare.com/c/Childrens_Furniture_Sets.htm
",Children's Furniture Sets
"http://www.kiddicare.com/c/Childrens_Wardrobes.htm
",Children's Wardrobes.htm
"http://www.kiddicare.com/c/Breastfeeding_Kits.htm
",Breastfeeding Kits
"http://www.kiddicare.com/c/Bottle_Feeding_Sets.htm
",Bottle Feeding Sets
"http://www.kiddicare.com/c/Play_Kitchens.htm
",Play kitchens
http://www.kiddicare.com/c/Dressing_Up_and_Role_Play.htm,Vehicles
"http://www.kiddicare.com/c/Bath_Toys.htm
",Bath Toys
http://www.kiddicare.com/c/Building_Sets.htm,Building sets
"http://www.kiddicare.com/c/Childrens_Tables_and_Chairs.htm
",Children's Tables and Chairs
"http://www.kiddicare.com/c/Childrens_Storage.htm
",Children's Storage
"http://www.kiddicare.com/c/Childrens_Bedsides.htm
",Children's Bedsides
